GB2502693A
WO1999056916A2
WO2002014019A2
US9120208B2
GB2092042A
US5210895A
US20080072717A1
US6016728A
US6705183B1
US6151998A
US20060191383A1
US8011277B2
US5916341A
US7757589B2
US7055410B2
